kills,assists,deaths,total_gold,gold_per_min,last_hits_per_min,hero_heal_damage,wards_placed,tower_damage,xp_per_min,rank_tier
5.0,9.0,5.0,9413.0,355.0,0.06,10714.0,0.0,236.0,397.0,6.0
5.0,2.0,4.0,6447.0,287.0,0.02,8075.0,0.0,0.0,296.0,4.0
7.0,6.0,1.0,11368.0,506.0,0.06,11764.0,0.0,1724.0,482.0,3.0
1.0,9.0,4.0,7818.0,348.0,0.04,6749.0,0.0,152.0,311.0,3.0
1.0,4.0,4.0,9705.0,432.0,0.06,4434.0,0.0,5219.0,440.0,4.0
8.0,5.0,1.0,15389.0,685.0,0.16,11875.0,0.0,7253.0,602.0,4.0
3.0,6.0,4.0,8402.0,374.0,0.03,6093.0,0.0,2580.0,334.0,2.0
5.0,5.0,5.0,9575.0,365.0,0.03,10080.0,0.0,188.0,508.0,5.0
1.0,2.0,9.0,12119.0,462.0,0.08,4596.0,0.0,0.0,356.0,3.0
1.0,4.0,13.0,7366.0,262.0,0.07,5837.0,0.0,90.0,302.0,4.0
2.0,4.0,8.0,7113.0,253.0,0.03,9244.0,0.0,0.0,322.0,5.0
2.0,6.0,3.0,8418.0,352.0,0.03,5721.0,0.0,1128.0,285.0,3.0
3.0,1.0,3.0,12508.0,523.0,0.11,8001.0,0.0,2759.0,438.0,4.0
3.0,3.0,6.0,10284.0,430.0,0.06,5568.0,0.0,1105.0,402.0,4.0
3.0,4.0,4.0,7342.0,307.0,0.04,10163.0,0.0,204.0,273.0,4.0
1.0,2.0,4.0,6648.0,278.0,0.03,4224.0,0.0,0.0,265.0,4.0
4.0,2.0,1.0,15129.0,540.0,0.13,2743.0,0.0,2765.0,602.0,2.0
9.0,14.0,4.0,13083.0,467.0,0.07,11554.0,0.0,3540.0,474.0,3.0
16.0,10.0,3.0,16950.0,605.0,0.07,26509.0,0.0,6661.0,778.0,3.0
4.0,2.0,10.0,5995.0,214.0,0.02,11707.0,0.0,0.0,249.0,3.0
2.0,2.0,6.0,6808.0,243.0,0.03,3686.0,0.0,0.0,375.0,3.0
16.0,11.0,0.0,18610.0,719.0,0.12,19506.0,0.0,7572.0,717.0,4.0
