kda,gold_efficiency,last_hits_per_min,hero_heal_damage,wards_placed,tower_damage,rune_pickups,teamfight_participation,xp_per_min,rank_tier
1.0,27.7,0.05,7639.0,0.0,356.0,0,0,287.0,5.0
4.0,27.7,0.08,19679.0,0.0,5571.0,0,0,604.0,5.0
1.25,29.45,0.04,13573.0,0.0,665.0,0,0,385.0,4.0
1.29,29.45,0.06,14178.0,0.0,453.0,0,0,341.0,4.0
0.62,29.45,0.01,9847.0,0.0,0.0,0,0,246.0,4.0
6.2,29.45,0.05,21385.0,0.0,4244.0,0,0,507.0,4.0
3.0,29.45,0.04,13692.0,0.0,2385.0,0,0,497.0,4.0
4.0,31.9,0.02,13008.0,0.0,1493.0,0,0,367.0,4.0
1.57,31.9,0.05,6977.0,0.0,0.0,0,0,409.0,4.0
0.92,31.9,0.03,6869.0,0.0,0.0,0,0,371.0,4.0
3.0,32.07,0.11,8425.0,0.0,2452.0,0,0,694.0,5.0
7.25,32.07,0.12,31936.0,0.0,9772.0,0,0,695.0,5.0
2.33,32.07,0.04,10644.0,0.0,709.0,0,0,523.0,5.0
5.5,32.06,0.01,14878.0,0.0,962.0,0,0,438.0,5.0
1.91,32.07,0.01,21712.0,0.0,0.0,0,0,545.0,6.0
0.55,32.07,0.06,8868.0,0.0,140.0,0,0,373.0,5.0
1.0,32.07,0.01,7701.0,0.0,149.0,0,0,342.0,5.0
1.25,32.07,0.08,10255.0,0.0,22.0,0,0,456.0,5.0
1.45,32.06,0.09,15895.0,0.0,179.0,0,0,529.0,5.0
1.14,27.33,0.0,3346.0,0.0,0.0,0,0,227.0,4.0
2.12,27.33,0.04,11916.0,0.0,74.0,0,0,421.0,4.0
1.64,27.33,0.02,11887.0,0.0,0.0,0,0,443.0,5.0
1.75,27.33,0.02,13471.0,0.0,1440.0,0,0,322.0,5.0
6.33,27.33,0.07,13556.0,0.0,2826.0,0,0,570.0,4.0
2.57,27.33,0.07,12320.0,0.0,2511.0,0,0,350.0,5.0
9.33,27.33,0.06,19545.0,0.0,2717.0,0,0,693.0,4.0
1.14,30.38,0.06,22622.0,0.0,199.0,0,0,589.0,2.0
0.05,30.38,0.0,2923.0,0.0,11.0,0,0,88.0,2.0
2.33,30.38,0.02,9491.0,0.0,299.0,0,0,448.0,2.0
0.2,13.4,0.08,1821.0,0.0,51.0,0,0,307.0,6.0
0.25,13.4,0.0,3289.0,0.0,0.0,0,0,192.0,4.0
0.5,13.4,0.1,4648.0,0.0,131.0,0,0,455.0,6.0
10.0,13.4,0.1,7071.0,0.0,1460.0,0,0,478.0,6.0
0.43,30.9,0.01,11060.0,0.0,28.0,0,0,262.0,4.0
1.0,30.9,0.05,12333.0,0.0,2918.0,0,0,329.0,4.0
4.0,30.9,0.11,11394.0,0.0,6104.0,0,0,487.0,4.0
9.0,30.9,0.1,18673.0,0.0,6268.0,0,0,543.0,4.0
3.4,29.08,0.05,10556.0,17.0,4361.0,6.0,0.5,553.0,5.0
4.17,29.08,0.02,14402.0,9.0,1138.0,9.0,0.74,493.0,5.0
2.38,29.08,0.06,14068.0,0.0,1220.0,6.0,0.56,401.0,5.0
1.67,29.08,0.11,4704.0,0.0,0.0,3.0,0.42,434.0,5.0
1.5,29.08,0.04,8609.0,7.0,0.0,4.0,0.75,532.0,6.0
2.5,29.08,0.04,10561.0,9.0,27.0,2.0,0.62,468.0,5.0
2.0,33.88,0.06,8112.0,0.0,1213.0,0,0,412.0,4.0
5.33,33.88,0.14,20750.0,0.0,11796.0,0,0,815.0,3.0
4.67,33.88,0.06,24197.0,0.0,2387.0,0,0,646.0,4.0
8.0,17.03,0.11,5386.0,0.0,6502.0,0,0,536.0,7.0
3.67,17.03,0.02,3042.0,0.0,655.0,0,0,218.0,7.0
5.0,17.03,0.08,7882.0,0.0,3057.0,0,0,523.0,7.0
3.25,17.03,0.03,5262.0,0.0,439.0,0,0,260.0,8.0
0.57,17.03,0.09,6254.0,0.0,545.0,0,0,448.0,7.0
0.3,17.03,0.01,2930.0,0.0,0.0,0,0,120.0,8.0
1.0,17.03,0.01,3225.0,0.0,0.0,0,0,173.0,7.0
1.0,17.03,0.03,6112.0,0.0,0.0,0,0,246.0,6.0
0.33,17.03,0.04,2281.0,0.0,0.0,0,0,176.0,7.0
10.5,24.57,0.11,12851.0,0.0,11427.0,0,0,484.0,5.0
5.0,24.57,0.08,13885.0,0.0,3145.0,0,0,604.0,5.0
0.86,24.56,0.01,6746.0,0.0,50.0,0,0,259.0,4.0
